Country,Movies,,,,C,Region,Population,,,,,
Afghanistan,15,"$500,000","$5,065,148",,Afghanistan ,ASIA (EX. NEAR EAST)         ,31056997,,,,,
Albania,9,$0,"$1,569,259",,Albania ,EASTERN EUROPE                     ,3581655,,,,,
Algeria,12,"$10,100,000","$45,100,973",,Algeria ,NORTHERN AFRICA                    ,32930091,,,,,
Angola,4,$0,"$47,278",,Angola ,SUB-SAHARAN AFRICA                 ,12127071,,,,,
Antarctica,2,$0,$976,,Antarctica,,1106,,,,,
Argentina,810,"$13,111,111","$589,008,719",,Argentina ,LATIN AMER. & CARIB    ,39921833,,,,,
Armenia,10,$0,"$4,607,676",,Armenia ,C.W. OF IND. STATES ,2976372,,,,,
Australia,689,"$29,637,420","$7,399,874,297",,Australia ,OCEANIA                            ,20264082,,,,, 
Austria,145,"$12,750,000","$306,107,828",,Austria ,WESTERN EUROPE                     ,8192880,,,,,
Azerbaijan,5,"$29,120","$44,525",,Azerbaijan ,C.W. OF IND. STATES ,7961619,,,,,
Bahamas,6,"$31,500,000","$56,161,963",,"Bahamas, The ",LATIN AMER. & CARIB    ,303770,,,,,
Bahrain,1,$0,"$19,130",,Bahrain ,NEAR EAST                          ,698585,,,,,
Bangladesh,6,$0,"$357,129",,Bangladesh ,ASIA (EX. NEAR EAST)         ,147365352,,,,,
Barbados,1,$0,"$1,105",,Barbados ,LATIN AMER. & CARIB    ,279912,,,,,
Belarus,7,$0,"$579,799",,Belarus ,C.W. OF IND. STATES ,10293011,,,,,
Belgium,493,"$19,138,484","$2,153,273,138",,Belgium ,WESTERN EUROPE                     ,10379067,,,,,
Belize,1,$0,$0,,Belize ,LATIN AMER. & CARIB    ,287730,,,,,
Bermuda,3,$0,"$5,200,000",,Bermuda ,NORTHERN AMERICA                   ,65773,,,,,
Bhutan,3,$0,"$39,204",,Bhutan ,ASIA (EX. NEAR EAST)         ,2279723,,,,,
Bolivia,8,$0,"$75,078",,Bolivia ,LATIN AMER. & CARIB    ,8989046,,,,,
Bosnia and Herzegovina,19,"$20,500,000","$12,715,693",,Bosnia & Herzegovina ,EASTERN EUROPE                     ,4498976,,,,,
Botswana,3,$0,"$43,923,227","212,559,417",Botswana ,SUB-SAHARAN AFRICA                 ,1639833,,,,,
Brazil,351,"$14,530,526","$1,108,271,762",,Brazil ,LATIN AMER. & CARIB    ,188078227,,,,,
British Indian Ocean Territory,1,$0,"$204,784",,British Virgin Is. ,LATIN AMER. & CARIB    ,23098,,,,,
Brunei Darussalam,1,$0,"$993,251",,Brunei ,ASIA (EX. NEAR EAST)         ,379444,,,,,
Bulgaria,102,"$10,750,000","$42,344,596",,Bulgaria ,EASTERN EUROPE                     ,7385367,,,,,
Burkina Faso,2,$0,"$7,849",,Burkina Faso ,SUB-SAHARAN AFRICA                 ,13902972,,,,,
Cambodia,19,"$3,000,000","$2,446,019",,Cambodia ,ASIA (EX. NEAR EAST)         ,13881427,,,,,
Cameroon,3,$0,"$727,360",,Cameroon ,SUB-SAHARAN AFRICA                 ,17340702,,,,,
Canada,1453,"$19,678,583","$7,865,508,770",,Canada ,NORTHERN AMERICA                   ,33098932,,,,,
Cape Verde,4,$0,"$273,078",,Cape Verde ,SUB-SAHARAN AFRICA                 ,420979,,,,,
Cayman Islands,2,"$2,000,000","$19,567,674",,Cayman Islands ,LATIN AMER. & CARIB    ,45436,,,,,
Chad,3,$0,"$279,502",,Chad ,SUB-SAHARAN AFRICA                 ,9944201,,,,,
Chile,83,"$12,000,000","$180,756,745","1,439,323,776",Chile ,LATIN AMER. & CARIB    ,16134219,,,,,
China,1752,"$34,963,077","$31,589,106,099",,China ,ASIA (EX. NEAR EAST)         ,1313973713,,,,,
Colombia,65,"$2,000,000","$25,981,190",,Colombia ,LATIN AMER. & CARIB    ,43593035,,,,,
Congo,1,$0,"$24,139",,"Congo, Repub. of the ",SUB-SAHARAN AFRICA                 ,3702314,,,,,
Cook Islands,1,$0,"$186,978",,Cook Islands ,OCEANIA                            ,21388,,,,,
Costa Rica,7,"$20,000,000","$18,131,098",,Costa Rica ,LATIN AMER. & CARIB    ,4075261,,,,,
Côte D'Ivoire,1,$0,$0,Population,Cote d'Ivoire ,SUB-SAHARAN AFRICA                 ,17654843,,,,,
Croatia,33,"$40,000,000","$9,708,112",,Croatia ,EASTERN EUROPE                     ,4494749,,,,,
Cuba,34,$0,"$65,404,072",,Cuba ,LATIN AMER. & CARIB    ,11382820,,,,,
Cyprus,10,"$5,000,000","$5,064,704",,Cyprus ,NEAR EAST                          ,784301,,,,,
Czech Republic,243,"$32,963,636","$643,848,628",,Czech Republic ,EASTERN EUROPE                     ,10235455,,,,,
Democratic Republic of the Congo,4,$0,"$84,087",,"Congo, Dem. Rep. ",SUB-SAHARAN AFRICA                 ,"89,561,403",,,,,
Denmark,224,"$14,355,063","$749,574,151",,Denmark ,WESTERN EUROPE                     ,5450661,,,,,
Djibouti,1,$0,"$993,251",,Djibouti ,SUB-SAHARAN AFRICA                 ,486530,,,,,
Dominican Republic,21,"$362,500","$8,216,870",,Dominican Republic ,LATIN AMER. & CARIB    ,9183984,,,,,
Ecuador,7,"$800,000","$1,763",,Ecuador ,LATIN AMER. & CARIB    ,13547510,,,,,
Egypt,22,"$1,500,000","$7,078,387",,Egypt ,NORTHERN AFRICA                    ,78887007,,,,,
El Salvador,1,$0,$0,,El Salvador ,LATIN AMER. & CARIB    ,6822378,,,,,
Estonia,27,"$1,250,000","$28,855,148",,Estonia ,BALTICS                            ,1324333,,,,,
Ethiopia,9,$0,"$108,188",,Ethiopia ,SUB-SAHARAN AFRICA                 ,74777981,,,,,
Federated States of Micronesia,1,$0,$0,,Faroe Islands ,WESTERN EUROPE                     ,47246,,,,,
Fiji,1,$0,$0,,Fiji ,OCEANIA                            ,905949,,,,,
Finland,66,"$22,193,750","$635,095,308",,Finland ,WESTERN EUROPE                     ,5231372,,,,,
France,2887,"$23,012,667","$20,141,550,538",,France ,WESTERN EUROPE                     ,60876136,,,,,
French Polynesia,1,$0,"$443,291",,French Polynesia ,OCEANIA                            ,274578,,,,,
Gabon,1,$0,"$19,215",,Gabon ,SUB-SAHARAN AFRICA                 ,1424906,,,,,
Georgia,20,"$12,000,000","$4,150,376",,Georgia ,C.W. OF IND. STATES ,4661473,,,,,
Germany,1302,"$31,199,867","$10,178,085,565",,Germany ,WESTERN EUROPE                     ,82422299,,,,,
Ghana,7,$0,"$406,799",,Ghana ,SUB-SAHARAN AFRICA                 ,22409572,,,,,
Greece,69,"$2,607,667","$72,551,065",,Greece ,WESTERN EUROPE                     ,10688058,,,,,
Greenland,3,"$21,000,000","$46,084,208",,Greenland ,NORTHERN AMERICA                   ,56361,,,,,
Guatemala,7,$0,"$1,036,627",,Guatemala ,LATIN AMER. & CARIB    ,12293545,,,,,
Haiti,6,$0,"$41,873",,Haiti ,LATIN AMER. & CARIB    ,8308504,,,,,
Honduras,1,$0,$0,,Honduras ,LATIN AMER. & CARIB    ,7326496,,,,,
Hong Kong,368,"$24,750,000","$6,533,345,895",,Hong Kong ,ASIA (EX. NEAR EAST)         ,6940432,,,,,
Hungary,83,"$36,677,000","$517,346,745",,Hungary ,EASTERN EUROPE                     ,9981334,,,,,
Iceland,54,"$22,950,000","$93,169,121",,Iceland ,WESTERN EUROPE                     ,299388,,,,,
India,1692,"$14,424,796","$7,350,910,428",,India ,ASIA (EX. NEAR EAST)         ,1095351995,,,,,
Indonesia,30,"$950,000","$16,580,343",,Indonesia ,ASIA (EX. NEAR EAST)         ,245452739,,,,,
Iran,74,"$3,484,286","$79,775,569","1,380,004,385",Iran ,ASIA (EX. NEAR EAST)         ,68688433,,,,,
Iraq,10,$0,"$297,967","273,523,615",Iraq ,NEAR EAST                          ,26783383,,,,,
Ireland,279,"$18,673,643","$1,238,189,962",,Ireland ,WESTERN EUROPE                     ,4062235,,,,,
Isle of Man,2,$0,"$71,190",,Isle of Man ,WESTERN EUROPE                     ,75441,,,,,
Israel,189,"$1,541,667","$124,850,637",,Israel ,NEAR EAST                          ,6352117,,,,,
Italy,1211,"$16,391,000","$4,201,103,485",,Italy ,WESTERN EUROPE                     ,58133509,,,,,
